1 Praia do Pontal do Peba/Av. Beira Mar, frente à Pousada do Marinho - 10°20’42,56”S e 036°18’5,51”W Não 30.2 09:26h Própria
1.1 Rio São Francisco/Piaçabuçú – Rua Coronel José Leonel, 68 (PIER) - 10°24’29,86”S e 036°26’05,65”W Não 28.9 08:56h Própria
1.2 Rio São Francisco/Piaçabuçú – Rodovia Dalmo Moreira Santana - 10°23’55,43”S e 036°26’46,71”W Não 28.6 08:48h Própria
1.3 Prainha do Rio São Francisco/ Av. Beira Rio,552 - Centro - 10°17’52,64”S e 036°34’57,86”W Não 28.9 08:06h Própria
2 Praia de Feliz Deserto/Av. Gov. Ronaldo Lessa, Frente à Praça Multieventos - 10°17’59,02”S e 036°17’26,41”W Não 30.9 09:34h Própria
3 Praia de Miai de Baixo/Frente à Rua de Acesso à Praia - 10°13’14,20”S e 036°12’57,18”W Não 30.6 09:46h Própria
4 Praia de Miai de Cima/Frente a Rua da Praia - 10°12’07,14”S e 036°11’21,67”W Não 30.8 10:00h Própria
5 Praia do Pontal de Coruripe/Frente ao Farol do Pontal, Frente ao Bar e Restaurante do Baiano - 10°09’29,99”S e 036º08’10,92”W Não 30.5 10:44h Própria
6 Praia da Lagoa do Pau/Frente da Barraca Carraspana, Poxim - 10°07’44,87”S e 036º06’34,12”W Não 30.6 10:55h Própria
7 Praia de Duas Barras/± 200m ao Sul da Foz do Rio Jequiá - 10°02’57,36”S e 036°01’54,36”W Não 29.8 11:30h Própria
7.1 Prainha da Laguna Jequiá da Praia/Rua Santo Antônio, Centro - 10°00’24,21”S e 036º01’26,07”W Não 28.7 12:03h Própria
8 Praia de Duas Barras/Foz do Rio Jequiá - 10°03’1,21”S e 036°01’53,27”W Não 29.9 11:42h Própria
9 Praia de Lagoa Azeda/Frente à Rua Antenor Nunes - 09°58’16,01”S e 035°58’47,14”W Não 29.8 12:11h Própria
10 Praia do Gunga/±200m da Foz da Lagoa do Roteiro - 09°51’40,49”S e 035°54’16,96”W Não 28.8 12:24h Própria
12 Praia de Atalaia/ Barra de São Miguel,Rua São Pedro - 09°50’39,93”S e 035°54’23,79”W Não 30.5 12:48h Própria
13 Praia da Barra de São Miguel/ Frente à Rua Edson Frazão - 09°50’19,77”S e 035°53’19,90”W Não 28.7 12:56h Imprópria
13.1 Rio Niquim/ Barra se São Miguel, ±300m da Foz - 09°50’38.62”S e 35°53’56.36”W Não 28.9 13:05h Imprópria
15 Praia do Francês/ Vila dos Pescadores, Frente à Nareia Beach Bar - 09°46’17,97”S e 035°50’30,12”W Não 29.9 13:42h Própria
16 Praia do Francês/ Av Verdes Mares, prox. à Rua Massunim - 09°46’15,02”S e 035°50’24,47”W Não 30.0 13:49h Própria
17 Praia do Francês/Av. Verdes Mares, Frente ao Restaurante e Petiscaria da Lara - 09°46’04,85"S e 035°50’16,16”W Não 29.8 13:57h Própria
19 Praia do Pontal da Barra/Av. Assis Chateaubriand/Frente ao Motonaútica - 09°41’51,34”S e 035°46’36,77”W Não 26.6 07:30h Imprópria
20 Praia do Pontal da Barra/Av. Assis Chateaubriand, ao BOPE – 09°41’22,70”S; 035°46’04,7”W Não 26,4 07:35h Própria 21 Praia do Pontal da Barra/Av. Assis Chateaubriand, frente ao SINDIFISCO - 09°40’38,38”S e 035°45’14,82”W Não 26.4 07:39h Imprópria
22 Praia do Pontal da Barra/Av. Assis Chateaubriand, ±500m ao Norte do Emissário da CASAL - 09°40’26,94”S e 035°44’56,37”W Não 26.6 07:44h Imprópria
23 Praia da Avenida/Av. da Paz, frente ao Posto SHELL - 09°40’15,99”S e 035°44’25,40”W Não 26.4 07:49h Imprópria
24 Praia da Avenida/Av. Assis Chateaubriand, interseção com a Rua Barão de Anadia - 09°40’13,56”S e 035°44’07,30''W Não 26.6 07:53h Imprópria
25 Praia da Pajuçara/Av. Dr Antônio Gouveia, interseção com a Rua João Carneiro - 09°40’24,83”S e 035°42’57,66”W Não 26.4 07:57h Imprópria
26 Praia da Pajuçara/Av. Dr Antônio Gouveia, frente ao Restaurante Parmegiano - 09°39’56,47”S e 035°42’34,33”W Não 26.8 08:03h Própria
27 Praia da Ponta Verde/Av. Silvio Carlos Viana, frente Corretora Márcio Raposo - 09°39’52,45”S e 035°41’57,41”W Não 26.9 08:07h Imprópria
28 Praia de Ponta Verde/Av. Álvaro Otacílio, entre as Ruas General. Dr. João Saleiro Pitão e Dr.Rubens Canuto - 09°39’37,96”S e 035°41’48,89”W Não 27.6 08:10h Imprópria
29 Praia de Jatiúca/Av. Álvaro Otacílio, frente ao Hotel Maceió Atlantic - 09°38’57,10”S e 035°41’59,30”W Não 27.4 08:15h Imprópria
30 Praia de Cruz das Almas/Av. Brigadeiro Eduardo Gomes, frente ao RITZ Residence - 09°38’18,60”S e 035°41’53,53”W Não 27.2 08:20h Própria
31 Praia de Cruz das Almas/ Av. Eustáquio Gomes, frente ao Condomínio Solaris - 09°37’59,14”S e 035°41’48,21”W Não 27.0 08:24h Própria
32 Praia de Cruz das Almas/Av. Eustáquio Gomes, frente ao Leroy Merlin - 09°37’42,60”S e 035°41’44,01”W Não 27.2 08:30h Própria
33 Praia de Jacarecica/Rua Herry V. Vieira de Paula, Frente à Rua"A” - 09°36’48,55”S e 035°41’15,66”W Não 27.4 08:35h Imprópria
34 Praia de Guaxuma/Frente à entrada principal de acesso, Ao lado do Mariali Maceió - 09°35’32,25”S e 035°40’05,11”W Não 27.2 08:40h Própria
35 Praia de Garça Torta/Frente à Rua principal, perpendicular à Rua São Pedro - 09°35’00,25”S e 035°36’35,26”W Não 27.6 08:44h Própria
36 Rio Pratagy/Ponte AL - 101, Norte - 09°34’01,97”S e 035°39’01,99”W Não 26.6 08:55h Própria
37 Praia do Mirante da Sereia/Av. Beira Mar, frente à Rua de principal acesso - 09°33’55,51”S e 035°38’42,67”W Não 27.0 09:04h Própria
38 Praia de Ipioca/Rua Hilda de Melo Aciole, Frente à Rua de principal acesso e ao lado do Residence Water Front - 09°31’51,91”S e 035°36’17,47”W Não 27.2 09:16h Própria
39 Praia de Paripueira/Av. Beira Mar, frente a Barraca do Osvaldo - 09º28’16,74”S e 35º32’55,76”W Não 29.8 05:53h Própria
40 Praia de Paripueira/Rua Jair Mendonça, ± 900 m da rua principal de acesso - 09º28’09,6”S e 035º32’46,50”W Não 28.9 06:02h Própria
41 Praia de Sonho Verde/Frente à ao Condomínio Sonho Verde - 09º27’06,55”S e 035º31’46,34”W Não 29.6 06:11h Própria
42 Praia de Barra de Santo Antônio/Rua Projetada Um, frente à entrada do Loteamento Tabuba - 09º26’24,69”S e 035º31’6,41”W Não 29.7 06:20h Própria
43 Praia de Maré Mansa/Barra de Santo Antônio, Rua Projetada 110, Loteamento Barra Norte - 09º25’27,87”S e 035º30’12,14”W Não 28.9 06:30h Própria
44 Praia de Barra de Camaragibe/Rua São José, Inicio da Rua Beira Mar - 09º18’49,37”S e 035º24’53,73”W Não 29.6 07:18h Própria
45 Praia S. Miguel dos Milagres/Rua Prof. Augusto de Barros Falção, frente ao Restaurante Mija Della - 09º16’01,72”S e 035º21’53,93” W Não 30.4 07:42h Própria
46 Praia de Porto da Rua/Rua Agnelo João dos Santos - 09º14’39,58”S e 035º20’50,80”W Não 30.7 07:59h Própria
47.1 Praia do Patacho/ Rua do Posto Patacho - 09º11’3,67’’S e 035º18’2,29” W Não 28.9 08:16h Própria
47.2 Praia de Lages/Acesso Principal, em frente ao Quiosqui Sol, Lua e Mar – 9° 12’ 3,357’’S e 35° 19’ 16,251’’W Não 29,7 08:33h Própria 48 Praia de Porto de Pedras/Frente à Rua Coronel Avelino - 09º09’44,47”S e 035º17’43,54”W Não 30.7 08:45h Própria
49 Praia de Japaratinga/Frente à Acesso a Pousada do Alto - 09°05’39,4”S e 035°15’30,5”W Não 30.8 09:23h Própria
50 Praia de Japaratinga/Rua Sebastião Lins de Melo, 41, Frente ao Restaurante Maria Pereira - 09º05’19,55”S e 035º15’23,38”W Não 29.9 09:31h Própria
51 Praia de Maragogi/Frente à Foz do Rio Salgado - 09º04’0,27”S e 035º14’32,67”W Não 30.5 09:40h Imprópria
52 Praia de Maragogi/Frente à Escola Manoel M. Costa, Povoado São Bento - 09º03’10,25”S e 035º14’22,03”W Não 29.8 09:48h Própria
53 Praia de Maragogi/Foz do Rio Maragogi, AL - 101 Norte - 09º01’54,14”S e 035º13’46,49”W Não 29.7 10:00h Imprópria
54 Praia de Maragogi/Av. Senador Rui Palmeira, Frente ao Hotel Areias Belas - 09º01’03,79”S e 035º13’22,45”W Não 30.8 10:09h Própria
55 Praia de Maragogi/Av. Senador Rui Plameira, Frente ao Restaurante Maragomar - 09º00’38,61”S e 035º13’06,79”W Não 30.6 10:17h Própria
56 Praia de Maragogi/Barra Grande, frente à Av. Jubarte - 08º59’15,8”S e 035º11’35,88”’W Não 29.8 10:25h Própria
57 Praia de Burgalhau/Frente ao Restaurante Burgalhau – Barra Grande - 08° 59’ 51,69"S e 035°12’ 23,92”W Não 29.6 10:36h Própria
58 Praia de Antunes/Barra Grande, Área de frequência de banhistas - 08°58’33,10"S e 035°10’ 49,74’’W Não 29.8 10:52h Própria
59 Praia de Ponta de Mangue/ Av. Estrela do Mar, frente ao Bar da Praia Porto do Sal - 08°57’23,53"S e 035°10’21,52"W Não 30.6 11:10h Própria
59.1 Praia Peroba/Frente ao acesso principal, Área de frequência de banhistas - 08°56’07”S e 035°10’01” W Não 30.8 11:29h Própria
60 Praia de Maragogi/Frente à Foz do Rio Persinunga - 08º54’48,80”S e 035º09’14,64”W Não 29.7 11:54h Imprópria
